huc	basin
040103	Southwestern Lake Superior
04010301	Beartrap-Nemadji
04010302	Bad-Montreal
0402	Southern Lake Superior-Lake Superior
040201	Southcentral Lake Superior
04020101	Black-Presque Isle
04020102	Ontonagon
04020103	Keweenaw Peninsula
04020104	Sturgeon
04020105	Dead-Kelsey
040202	Southeastern Lake Superior
04020201	Betsy-Chocolay
04020202	Tahquamenon
04020203	Waiska
040203	Lake Superior
04020300	Lake Superior
0403	Northwestern Lake Michigan
040301	Northwestern Lake Michigan
04030101	Manitowoc-Sheboygan
04030102	Door-Kewaunee
04030103	Duck-Pensaukee
04030104	Oconto
04030105	Peshtigo
04030106	Brule
04030107	Michigamme
04030108	Menominee
04030109	Cedar-Ford
04030110	Escanaba
04030111	Tacoosh-Whitefish
04030112	Fishdam-Sturgeon
040302	Fox
04030201	Upper Fox
04030202	Wolf
04030203	Lake Winnebago
04030204	Lower Fox
0404	Southwestern Lake Michigan
040400	Southwestern Lake Michigan
04040001	Little Calumet-Galien
04040002	Pike-Root
04040003	Milwaukee
0405	Southeastern Lake Michigan
040500	Southeastern Lake Michigan
04050001	St. Joseph
04050002	Black-Macatawa
04050003	Kalamazoo
04050004	Upper Grand
04050005	Maple
04050006	Lower Grand
04050007	Thornapple
0406	Northeastern Lake Michigan-Lake Michigan
040601	Northeastern Lake Michigan
04060101	Pere Marquette-White
04060102	Muskegon
04060103	Manistee
04060104	Betsie-Platte
04060105	Boardman-Charlevoix
04060106	Manistique
04060107	Brevoort-Millecoquins
040602	Lake Michigan
04060200	Lake Michigan
0407	Northwestern Lake Huron
040700	Northwestern Lake Huron
04070001	St. Marys
04070002	Carp-Pine
04070003	Lone Lake-Ocqueoc
04070004	Cheboygan
04070005	Black
04070006	Thunder Bay
04070007	Au Sable
0408	Southwestern Lake Huron-Lake Huron
040801	Southwestern Lake Huron
04080101	Au Gres-Rifle
04080102	Kawkawlin-Pine
04080103	Pigeon-Wiscoggin
04080104	Birch-Willow
040802	Saginaw
04080201	Tittabawassee
04080202	Pine
04080203	Shiawassee
04080204	Flint
04080205	Cass
04080206	Saginaw
040803	Lake Huron
04080300	Lake Huron
0409	St. Clair-Detroit
040900	St. Clair-Detroit
04090001	St. Clair
04090002	Lake St. Clair
04090003	Clinton
04090004	Detroit
04090005	Huron
0410	Western Lake Erie
041000	Western Lake Erie
04100001	Ottawa-Stony
04100002	Raisin
04100003	St. Joseph
04100004	St. Marys
04100005	Upper Maumee
04100006	Tiffin
04100007	Auglaize
04100008	Blanchard
04100009	Lower Maumee
04100010	Cedar-Portage
04100011	Sandusky
04100012	Huron-Vermilion
0411	Southern Lake Erie
041100	Southern Lake Erie
04110001	Black-Rocky
04110002	Cuyahoga
04110003	Ashtabula-Chagrin
04110004	Grand
0412	Eastern Lake Erie-Lake Erie
041201	Eastern Lake Erie
04120101	Chautauqua-Conneaut
04120102	Cattaraugus
04120103	Buffalo-Eighteenmile
04120104	Niagara
041202	Lake Erie
04120200	Lake Erie
0413	Southwestern Lake Ontario
041300	Southwestern Lake Ontario
04130001	Oak Orchard-Twelvemile
04130002	Upper Genesee
04130003	Lower Genesee
0414	Southeastern Lake Ontario
041401	Southeastern Lake Ontario
04140101	Irondequoit-Ninemile
04140102	Salmon-Sandy
041402	Oswego
04140201	Seneca
04140202	Oneida
04140203	Oswego
0415	Northeastern Lake Ontario-Lake Ontario-St. Lawrence
041501	Northeastern Lake Ontario
04150101	Black
04150102	Chaumont-Perch
041502	Lake Ontario
04150200	Lake Ontario
041503	St. Lawrence
04150301	Upper St. Lawrence
04150302	Oswegatchie
04150303	Indian
04150304	Grass
04150305	Raquette
04150306	St. Regis
04150307	English-Salmon
05	Ohio
0501	Allegheny
050100	Allegheny
05010001	Upper Allegheny
05010002	Conewango
05010003	Middle Allegheny-Tionesta
05010004	French
05010005	Clarion
05010006	Middle Allegheny-Redbank
05010007	Conemaugh
05010008	Kiskiminetas
05010009	Lower Allegheny
0502	Monongahela
050200	Monongahela
05020001	Tygart Valley
05020002	West Fork
05020003	Upper Monongahela
05020004	Cheat
05020005	Lower Monongahela
05020006	Youghiogheny
0503	Upper Ohio
050301	Upper Ohio-Beaver
05030101	Upper Ohio
05030102	Shenango
05030103	Mahoning
05030104	Beaver
05030105	Connoquenessing
05030106	Upper Ohio-Wheeling
050302	Upper Ohio-Little Kanawha
05030201	Little Muskingum-Middle Island
05030202	Upper Ohio-Shade
05030203	Little Kanawha
05030204	Hocking
0504	Muskingum
050400	Muskingum
05040001	Tuscarawas
05040002	Mohican
05040003	Walhonding
05040004	Muskingum
05040005	Wills
05040006	Licking
0505	Kanawha
050500	Kanawha
05050001	Upper New
05050002	Middle New
05050003	Greenbrier
05050004	Lower New
05050005	Gauley
05050006	Upper Kanawha
05050007	Elk
05050008	Lower Kanawha
05050009	Coal
0506	Scioto
050600	Scioto
05060001	Upper Scioto
05060002	Lower Scioto
05060003	Paint
0507	Big Sandy-Guyandotte
050701	Guyandotte
05070101	Upper Guyandotte
05070102	Lower Guyandotte
050702	Big Sandy
05070201	Tug
05070202	Upper Levisa
05070203	Lower Levisa
05070204	Big Sandy
0508	Great Miami
050800	Great Miami
05080001	Upper Great Miami
05080002	Lower Great Miami
05080003	Whitewater
0509	Middle Ohio
050901	Middle Ohio-Raccoon
05090101	Raccoon-Symmes
05090102	Twelvepole
05090103	Little Scioto-Tygarts
05090104	Little Sandy
050902	Middle Ohio-Little Miami
05090201	Ohio Brush-Whiteoak
05090202	Little Miami
05090203	Middle Ohio-Laughery
0510	Kentucky-Licking
051001	Licking
05100101	Licking
05100102	South Fork Licking
051002	Kentucky
05100201	North Fork Kentucky
05100202	Middle Fork Kentucky
05100203	South Fork Kentucky
05100204	Upper Kentucky
05100205	Lower Kentucky
0511	Green
051100	Green
05110001	Upper Green
05110002	Barren
05110003	Middle Green
05110004	Rough
05110005	Lower Green
05110006	Pond
0512	Wabash
051201	Wabash
05120101	Upper Wabash
05120102	Salamonie
05120103	Mississinewa
05120104	Eel
05120105	Middle Wabash-Deer
05120106	Tippecanoe
05120107	Wildcat
05120108	Middle Wabash-Little Vermilion
05120109	Vermilion
05120110	Sugar
05120111	Middle Wabash-Busseron
05120112	Embarras
05120113	Lower Wabash
05120114	Little Wabash
05120115	Skillet
051202	Patoka-White
05120201	Upper White
05120202	Lower White
05120203	Eel
05120204	Driftwood
05120205	Flatrock-Haw
05120206	Upper East Fork White
05120207	Muscatatuck
05120208	Lower East Fork White
05120209	Patoka
0513	Cumberland
051301	Upper Cumberland
05130101	Upper Cumberland
05130102	Rockcastle
05130103	Upper Cumberland-Lake Cumberland
05130104	South Fork Cumberland
05130105	Obey
05130106	Upper Cumberland-Cordell Hull
05130107	Collins
05130108	Caney
051302	Lower Cumberland
05130201	Lower Cumberland-Old Hickory Lake
05130202	Lower Cumberland-Sycamore
05130203	Stones
05130204	Harpeth
05130205	Lower Cumberland
05130206	Red
0514	Lower Ohio
051401	Lower Ohio-Salt
05140101	Silver-Little Kentucky
05140102	Salt
05140103	Rolling Fork
05140104	Blue-Sinking
051402	Lower Ohio
05140201	Lower Ohio-Little Pigeon
05140202	Highland-Pigeon
05140203	Lower Ohio-Bay
05140204	Saline
05140205	Tradewater
05140206	Lower Ohio
06	Tennessee
0601	Upper Tennessee
060101	French Broad-Holston
06010101	North Fork Holston
06010102	South Fork Holston
06010103	Watauga
06010104	Holston
06010105	Upper French Broad
06010106	Pigeon
06010107	Lower French Broad
06010108	Nolichucky
060102	Upper Tennessee
06010201	Watts Bar Lake
06010202	Upper Little Tennessee
06010203	Tuckasegee
06010204	Lower Little Tennessee
06010205	Upper Clinch
06010206	Powell
06010207	Lower Clinch
06010208	Emory
0602	Middle Tennessee-Hiwassee
060200	Middle Tennessee-Hiwassee
06020001	Middle Tennessee-Chickamauga
06020002	Hiwassee
06020003	Ocoee
06020004	Sequatchie
0603	Middle Tennessee-Elk
060300	Middle Tennessee-Elk
06030001	Guntersville Lake
06030002	Wheeler Lake
06030003	Upper Elk
06030004	Lower Elk
06030005	Pickwick Lake
06030006	Bear
0604	Lower Tennessee
060400	Lower Tennessee
06040001	Lower Tennessee-Beech
06040002	Upper Duck
06040003	Lower Duck
06040004	Buffalo
06040005	Kentucky Lake
06040006	Lower Tennessee
07	Upper Mississippi
0701	Mississippi Headwaters
070101	Mississippi Headwaters
07010101	Mississippi Headwaters
07010102	Leech Lake
07010103	Prairie-Willow
07010104	Elk-Nokasippi
07010105	Pine
07010106	Crow Wing
07010107	Redeye
07010108	Long Prairie
070102	Upper Mississippi-Crow-Rum
07010201	Platte-Spunk
07010202	Sauk
07010203	Clearwater-Elk
07010204	Crow
07010205	South Fork Crow
07010206	Twin Cities
07010207	Rum
0702	Minnesota
070200	Minnesota
07020001	Upper Minnesota
07020002	Pomme De Terre
07020003	Lac Qui Parle
07020004	Hawk-Yellow Medicine
07020005	Chippewa
07020006	Redwood
07020007	Middle Minnesota
07020008	Cottonwood
07020009	Blue Earth
07020010	Watonwan
07020011	Le Sueur
07020012	Lower Minnesota
0703	St. Croix
070300	St. Croix
07030001	Upper St. Croix
07030002	Namekagon
07030003	Kettle
07030004	Snake
07030005	Lower St. Croix
0704	Upper Mississippi-Black-Root
070400	Upper Mississippi-Black-Root
07040001	Rush-Vermillion
07040002	Cannon
07040003	Buffalo-Whitewater
07040004	Zumbro
07040005	Trempealeau
07040006	La Crosse-Pine
07040007	Black
07040008	Root
0705	Chippewa
070500	Chippewa
07050001	Upper Chippewa
07050002	Flambeau
07050003	South Fork Flambeau
07050004	Jump
07050005	Lower Chippewa
07050006	Eau Claire
07050007	Red Cedar
0706	Upper Mississippi-Maquoketa-Plum
070600	Upper Mississippi-Maquoketa-Plum
07060001	Coon-Yellow
07060002	Upper Iowa
07060003	Grant-Little Maquoketa
07060004	Turkey
07060005	Apple-Plum
07060006	Maquoketa
0707	Wisconsin
070700	Wisconsin
07070001	Upper Wisconsin
07070002	Lake Dubay
07070003	Castle Rock
07070004	Baraboo
07070005	Lower Wisconsin
07070006	Kickapoo
0708	Upper Mississippi-Iowa-Skunk-Wapsipinicon
070801	Upper Mississippi-Skunk-Wapsipinicon
07080101	Copperas-Duck
07080102	Upper Wapsipinicon
07080103	Lower Wapsipinicon
07080104	Flint-Henderson
07080105	South Skunk
07080106	North Skunk
07080107	Skunk
070802	Iowa
07080201	Upper Cedar
07080202	Shell Rock
07080203	Winnebago
07080204	West Fork Cedar
07080205	Middle Cedar
07080206	Lower Cedar
07080207	Upper Iowa
07080208	Middle Iowa
07080209	Lower Iowa
0709	Rock
070900	Rock
07090001	Upper Rock
07090002	Crawfish
07090003	Pecatonica
07090004	Sugar
07090005	Lower Rock
07090006	Kishwaukee
07090007	Green
0710	Des Moines
071000	Des Moines
07100001	Des Moines Headwaters
07100002	Upper Des Moines
07100003	East Fork Des Moines
07100004	Middle Des Moines
07100005	Boone
07100006	North Raccoon
07100007	South Raccoon
07100008	Lake Red Rock
07100009	Lower Des Moines
0711	Upper Mississippi-Salt
071100	Upper Mississippi-Salt
07110001	Bear-Wyaconda
07110002	North Fabius
07110003	South Fabius
07110004	The Sny
07110005	North Fork Salt
07110006	South Fork Salt
07110007	Salt
07110008	Cuivre
07110009	Peruque-Piasa
0712	Upper Illinois
071200	Upper Illinois
07120001	Kankakee
07120002	Iroquois
07120003	Chicago
07120004	Des Plaines
07120005	Upper Illinois
07120006	Upper Fox
07120007	Lower Fox
0713	Lower Illinois
071300	Lower Illinois
07130001	Lower Illinois-Senachwine Lake
07130002	Vermilion
07130003	Lower Illinois-Lake Chautauqua
07130004	Mackinaw
07130005	Spoon
07130006	Upper Sangamon
07130007	South Fork Sangamon
07130008	Lower Sangamon
07130009	Salt
07130010	La Moine
07130011	Lower Illinois
07130012	Macoupin
0714	Upper Mississippi-Kaskaskia-Meramec
071401	Upper Mississippi-Meramec
07140101	Cahokia-Joachim
07140102	Meramec
07140103	Bourbeuse
07140104	Big
07140105	Upper Mississippi-Cape Girardeau
07140106	Big Muddy
07140107	Whitewater
07140108	Cache
071402	Kaskaskia
07140201	Upper Kaskaskia
07140202	Middle Kaskaskia
07140203	Shoal
07140204	Lower Kaskaskia
08	Lower Mississippi
0801	Lower Mississippi-Hatchie
080101	Lower Mississippi-Memphis
08010100	Lower Mississippi-Memphis
080102	Hatchie-Obion
08010201	Bayou De Chien-Mayfield
08010202	Obion
08010203	South Fork Obion
08010204	North Fork Forked Deer
08010205	South Fork Forked Deer
08010206	Forked Deer
08010207	Upper Hatchie
08010208	Lower Hatchie
08010209	Loosahatchie
08010210	Wolf
08010211	Horn Lake-Nonconnah
0802	Lower Mississippi - St. Francis
080201	Lower Mississippi-Helena
08020100	Lower Mississippi-Helena
080202	St. Francis
08020201	New Madrid-St. Johns
08020202	Upper St. Francis
08020203	Lower St. Francis
08020204	Little River Ditches
08020205	L'anguille
080203	Lower White
08020301	Lower White-Bayou Des Arc
08020302	Cache
08020303	Lower White
08020304	Big
080204	Lower Arkansas
08020401	Lower Arkansas
08020402	Bayou Meto
0803	Lower Mississippi - Yazoo
080301	Lower Mississippi-Greenville
08030100	Lower Mississippi-Greenville
080302	Yazoo
08030201	Little Tallahatchie
08030202	Tallahatchie
08030203	Yocona
08030204	Coldwater
08030205	Yalobusha
08030206	Upper Yazoo
08030207	Big Sunflower
08030208	Lower Yazoo
08030209	Deer-Steele
0804	Lower Red - Ouachita
080401	Upper Ouachita
08040101	Ouachita Headwaters
08040102	Upper Ouachita
08040103	Little Missouri
080402	Lower Ouachita
08040201	Lower Ouachita-Smackover
08040202	Lower Ouachita-Bayou De Loutre
08040203	Upper Saline
08040204	Lower Saline
08040205	Bayou Bartholomew
08040206	Bayou D'arbonne
08040207	Lower Ouachita
080403	Lower Red
08040301	Lower Red
08040302	Castor
08040303	Dugdemona
08040304	Little
08040305	Black
08040306	Bayou Cocodrie
0805	Boeuf-Tensas
080500	Boeuf-Tensas
08050001	Boeuf
08050002	Bayou Macon
08050003	Tensas
0806	Lower Mississippi - Big Black
080601	Lower Mississippi-Natchez
08060100	Lower Mississippi-Natchez
080602	Big Black - Homochitto
08060201	Upper Big Black
08060202	Lower Big Black
08060203	Bayou Pierre
08060204	Coles Creek
08060205	Homochitto
08060206	Buffalo
0807	Lower Mississippi-Lake Maurepas
080701	Lower Mississippi-Baton Rouge
08070100	Lower Mississippi-Baton Rouge
080702	Lake Maurepas
08070201	Bayou Sara-Thompson
08070202	Amite
08070203	Tickfaw
08070204	Lake Maurepas
08070205	Tangipahoa
080703	Lower Grand
08070300	Lower Grand
0808	Louisiana Coastal
080801	Atchafalaya - Vermilion
08080101	Atchafalaya
08080102	Bayou Teche
08080103	Vermilion
080802	Calcasieu - Mermentau
08080201	Mermentau Headwaters
08080202	Mermentau
08080203	Upper Calcasieu
08080204	Whisky Chitto
08080205	West Fork Calcasieu
08080206	Lower Calcasieu
0809	Lower Mississippi
080901	Lower Mississippi-New Orleans
08090100	Lower Mississippi-New Orleans
080902	Lake Pontchartrain
08090201	Liberty Bayou-Tchefuncta
08090202	Lake Pontchartrain
08090203	Eastern Louisiana Coastal
080903	Central Louisiana Coastal
08090301	East Central Louisiana Coastal
08090302	West Central Louisiana Coastal
09	Souris-Red-Rainy
0901	Souris
090100	Souris
09010001	Upper Souris
09010002	Des Lacs
09010003	Lower Souris
09010004	Willow
09010005	Deep
0902	Red
090201	Upper Red
09020101	Bois De Sioux
09020102	Mustinka
09020103	Otter Tail
09020104	Upper Red
09020105	Western Wild Rice
09020106	Buffalo
09020107	Elm-Marsh
09020108	Eastern Wild Rice
09020109	Goose
090202	Devils Lake-Sheyenne
09020201	Devils Lake
09020202	Upper Sheyenne
09020203	Middle Sheyenne
09020204	Lower Sheyenne
09020205	Maple
090203	Lower Red
09020301	Sandhill-Wilson
09020302	Red Lakes
09020303	Red Lake
09020304	Thief
09020305	Clearwater
09020306	Grand Marais-Red
09020307	Turtle
09020308	Forest
09020309	Snake
09020310	Park
09020311	Lower Red
09020312	Two Rivers
09020313	Pembina
09020314	Roseau
0903	Rainy
090300	Rainy
09030001	Rainy Headwaters
09030002	Vermilion
09030003	Rainy Lake
09030004	Upper Rainy
09030005	Little Fork
09030006	Big Fork
09030007	Rapid
09030008	Lower Rainy
09030009	Lake of the Woods
10	Missouri
1001	Saskatchewan
100100	Saskatchewan
10010001	Belly
10010002	St. Mary
1002	Missouri Headwaters
100200	Missouri Headwaters
10020001	Red Rock
10020002	Beaverhead
10020003	Ruby
10020004	Big Hole
10020005	Jefferson
10020006	Boulder
10020007	Madison
10020008	Gallatin
1003	Missouri-Marias
100301	Upper Missouri
10030101	Upper Missouri
10030102	Upper Missouri-Dearborn
10030103	Smith
10030104	Sun
10030105	Belt
100302	Marias
10030201	Two Medicine
10030202	Cut Bank
10030203	Marias
10030204	Willow
10030205	Teton
1004	Missouri-Musselshell
100401	Fort Peck Lake
10040101	Bullwhacker-Dog
10040102	Arrow
10040103	Judith
10040104	Fort Peck Reservoir
